"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Average price All property types","Percentage_change_All_property_types","Percentage change (yearly) All property types","House price index Detached houses","Average price Detached houses","Percentage change (monthly) Detached houses","Percentage change (yearly) Detached houses","House price index Semi-detached houses","Average price Semi-detached houses","Percentage change (monthly) Semi-detached houses","Percentage change (yearly) Semi-detached houses","House price index Terraced houses","Average price Terraced houses","Percentage change (monthly) Terraced houses","Percentage change (yearly) Terraced houses","House price index Flats and maisonettes","Average price Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Date"
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-01,11333,monthly,32.37,130411,1.95,23.38,37.79,280980,5.89,24.03,35.05,165413,3.94,22.79,31.26,127833,2.49,23.73,31.92,115506,0.38,23.28,2000-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-02,11414,monthly,32.94,132705,1.76,26.06,37.63,279796,-0.42,24.08,35.05,165391,-0.01,23.24,31.72,129708,1.47,26.12,32.79,118641,2.71,27.08,2000-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-03,14645,monthly,33.33,134286,1.19,25.04,38.28,284608,1.72,25.02,35.69,168433,1.84,23.84,32.27,131957,1.73,25.58,32.98,119340,0.59,24.98,2000-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-04,12667,monthly,34.92,140670,4.75,28.32,39.54,293946,3.28,26.41,36.92,174235,3.44,25.61,33.42,136659,3.56,26.36,34.99,126608,6.09,30.69,2000-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-05,13099,monthly,34.97,140862,0.14,26.66,40.04,297670,1.27,28.16,37.46,176792,1.47,26.46,33.6,137401,0.54,25.79,34.77,125794,-0.64,27.02,2000-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-06,14270,monthly,35.63,143542,1.9,26.67,40.19,298774,0.37,24.31,37.94,179057,1.28,24.91,34.13,139575,1.58,25.02,35.62,128870,2.44,28.54,2000-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-07,13278,monthly,36.3,146228,1.87,24.95,42.1,313017,4.77,25.48,38.86,183384,2.42,24.53,34.89,142702,2.24,23.6,36.05,130434,1.21,25.9,2000-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-08,12690,monthly,36.56,147284,0.72,23.4,41.95,311885,-0.36,23.63,39.05,184296,0.5,23.21,34.8,142302,-0.28,20.87,36.61,132453,1.55,25.04,2000-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-09,11521,monthly,36.57,147316,0.02,20.15,42.34,314775,0.93,20.91,38.85,183347,-0.52,20.21,34.88,142656,0.25,19.22,36.59,132409,-0.03,20.42,2000-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-10,11068,monthly,36.15,145626,-1.15,18.39,42.34,314817,0.01,20.29,39.14,184698,0.74,19.25,34.49,141042,-1.13,17.65,35.92,129962,-1.85,18.29,2000-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-11,11301,monthly,36.66,147666,1.4,17.39,42.26,314211,-0.19,17.61,38.72,182742,-1.06,15.62,34.65,141687,0.46,14.89,36.98,133810,2.96,19.49,2000-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-12,11983,monthly,36.61,147483,-0.12,15.3,41.37,307562,-2.12,15.91,38.68,182542,-0.11,14.7,34.72,141993,0.22,13.84,36.92,133575,-0.18,16.08,2000-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-01,10315,monthly,37.12,149543,1.4,14.67,42.19,313677,1.99,11.64,39.28,185344,1.54,12.05,35.4,144786,1.97,13.26,37.26,134820,0.93,16.72,2001-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-02,9963,monthly,37.18,149776,0.16,12.86,42.62,316859,1.01,13.25,39.67,187191,1.0,13.18,35.56,145438,0.45,12.13,37.1,134244,-0.43,13.15,2001-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-03,12882,monthly,37.47,150941,0.78,12.4,42.04,312590,-1.35,9.83,39.54,186613,-0.31,10.79,35.74,146149,0.49,10.76,37.68,136351,1.57,14.25,2001-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-04,12330,monthly,37.95,152865,1.27,8.67,42.71,317568,1.59,8.04,39.83,187982,0.73,7.89,36.31,148477,1.59,8.65,38.14,137996,1.21,8.99,2001-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-05,13965,monthly,39.01,157156,2.81,11.57,43.06,320126,0.81,7.54,40.72,192150,2.22,8.69,37.27,152402,2.64,10.92,39.4,142572,3.32,13.34,2001-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-06,15564,monthly,39.41,158760,1.02,10.6,43.3,321946,0.57,7.76,41.06,193754,0.83,8.21,37.37,152838,0.29,9.5,40.06,144946,1.67,12.48,2001-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-07,16048,monthly,40.0,161122,1.49,10.19,45.34,337102,4.71,7.69,42.29,199554,2.99,8.82,38.15,156018,2.08,9.33,40.16,145315,0.25,11.41,2001-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-08,17306,monthly,40.87,164628,2.18,11.78,45.85,340860,1.11,9.29,42.77,201833,1.14,9.52,38.97,159357,2.14,11.99,41.23,149188,2.67,12.63,2001-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-09,13820,monthly,40.91,164820,0.12,11.88,46.29,344116,0.96,9.32,42.97,202792,0.48,10.61,39.0,159498,0.09,11.81,41.2,149093,-0.06,12.6,2001-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-10,14320,monthly,41.25,166189,0.83,14.12,46.86,348354,1.23,10.65,43.65,205977,1.57,11.52,39.4,161134,1.03,14.25,41.37,149680,0.39,15.17,2001-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-11,14294,monthly,41.51,167214,0.62,13.24,46.61,346501,-0.53,10.28,43.82,206766,0.38,13.15,39.41,161179,0.03,13.76,41.88,151527,1.23,13.24,2001-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-12,11937,monthly,41.63,167693,0.29,13.7,45.82,340664,-1.68,10.76,43.52,205384,-0.67,12.51,39.22,160381,-0.5,12.95,42.45,153617,1.38,15.0,2001-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-01,10337,monthly,42.16,169841,1.28,13.57,47.42,352528,3.48,12.39,44.65,210722,2.6,13.69,39.97,163445,1.91,12.89,42.53,153883,0.17,14.14,2002-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-02,10786,monthly,42.32,170502,0.39,13.84,46.74,347520,-1.42,9.68,44.35,209278,-0.69,11.8,40.28,164721,0.78,13.26,42.8,154884,0.65,15.38,2002-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-03,13747,monthly,42.88,172749,1.32,14.45,47.32,351801,1.23,12.54,44.92,211962,1.28,13.58,40.73,166555,1.11,13.96,43.44,157187,1.49,15.28,2002-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-04,14025,monthly,44.24,178218,3.17,16.58,48.41,359916,2.31,13.34,46.0,217092,2.42,15.49,41.72,170602,2.43,14.9,45.2,163549,4.05,18.52,2002-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-05,17735,monthly,45.38,182805,2.57,16.32,49.43,367527,2.11,14.81,47.42,223779,3.08,16.46,42.98,175772,3.03,15.33,46.15,166997,2.11,17.13,2002-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-06,14368,monthly,46.18,186038,1.77,17.18,49.73,369726,0.6,14.84,47.58,224529,0.33,15.88,43.6,178283,1.43,16.65,47.37,171396,2.63,18.25,2002-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-07,18061,monthly,47.45,191162,2.75,18.64,52.44,389899,5.46,15.66,49.57,233908,4.18,17.21,45.17,184737,3.62,18.41,48.03,173793,1.4,19.6,2002-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-08,17567,monthly,48.49,195333,2.18,18.65,53.08,394662,1.22,15.78,50.69,239197,2.26,18.51,46.25,189142,2.38,18.69,49.04,177432,2.09,18.93,2002-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-09,15091,monthly,48.91,197045,0.88,19.55,53.69,399194,1.15,16.01,51.42,242636,1.44,19.65,46.56,190416,0.67,19.39,49.43,178855,0.8,19.96,2002-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-10,14509,monthly,49.42,199092,1.04,19.8,54.43,404694,1.38,16.17,52.34,246998,1.8,19.92,47.12,192683,1.19,19.58,49.74,179988,0.63,20.25,2002-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-11,14324,monthly,50.27,202527,1.73,21.12,55.48,412507,1.93,19.05,52.73,248842,0.75,20.35,47.73,195211,1.31,21.11,50.91,184228,2.36,21.58,2002-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2002-12,13443,monthly,50.5,203437,0.45,21.32,54.87,407963,-1.1,19.76,53.48,252359,1.41,22.87,48.03,196414,0.62,22.47,50.98,184471,0.13,20.08,2002-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-01,11365,monthly,51.42,207162,1.83,21.97,56.38,419137,2.74,18.89,53.96,254641,0.9,20.84,49.4,202041,2.86,23.61,51.66,186926,1.33,21.47,2003-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-02,10320,monthly,51.25,206464,-0.34,21.09,55.82,414982,-0.99,19.41,54.38,256602,0.77,22.61,48.93,200114,-0.95,21.49,51.55,186523,-0.22,20.43,2003-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-03,10600,monthly,51.03,205573,-0.43,19.0,55.86,415288,0.07,18.05,54.05,255085,-0.59,20.34,48.84,199740,-0.19,19.92,51.24,185407,-0.6,17.95,2003-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-04,10380,monthly,51.62,207953,1.16,16.69,55.94,415921,0.15,15.56,54.69,258067,1.17,18.87,49.18,201120,0.69,17.89,52.05,188347,1.59,15.16,2003-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-05,11169,monthly,52.27,210583,1.26,15.2,56.35,418968,0.73,14.0,55.43,261553,1.35,16.88,50.31,205740,2.3,17.05,52.33,189359,0.54,13.39,2003-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-06,11990,monthly,51.87,208941,-0.78,12.31,56.18,417655,-0.31,12.96,54.93,259215,-0.89,15.45,49.61,202891,-1.38,13.8,52.15,188717,-0.34,10.11,2003-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-07,13468,monthly,53.07,213806,2.33,11.85,57.36,426441,2.1,9.37,56.38,266051,2.64,13.74,51.06,208794,2.91,13.02,53.1,192154,1.82,10.56,2003-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-08,14417,monthly,52.8,212692,-0.52,8.89,57.0,423770,-0.63,7.38,56.04,264469,-0.59,10.57,50.9,208159,-0.3,10.05,52.76,190918,-0.64,7.6,2003-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-09,14741,monthly,52.85,212901,0.1,8.05,57.67,428779,1.18,7.41,56.39,266092,0.61,9.67,51.0,208553,0.19,9.52,52.63,190449,-0.25,6.48,2003-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-10,15741,monthly,53.27,214608,0.8,7.79,57.52,427660,-0.26,5.67,56.66,267387,0.49,8.25,51.45,210387,0.88,9.19,53.13,192263,0.95,6.82,2003-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-11,14754,monthly,53.51,215556,0.44,6.43,57.19,425184,-0.58,3.07,56.65,267314,-0.03,7.42,51.73,211536,0.55,8.36,53.47,193463,0.62,5.01,2003-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-12,14839,monthly,53.86,216971,0.66,6.65,56.61,420852,-1.02,3.16,56.77,267879,0.21,6.15,51.76,211690,0.07,7.78,54.21,196159,1.39,6.34,2003-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-01,12767,monthly,54.33,218855,0.87,5.64,58.42,434342,3.21,3.63,57.5,271332,1.29,6.55,52.46,214541,1.35,6.19,54.3,196490,0.17,5.12,2004-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-02,12160,monthly,54.56,219804,0.43,6.46,58.51,434984,0.15,4.82,57.87,273084,0.65,6.42,52.92,216428,0.88,8.15,54.36,196693,0.1,5.45,2004-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-03,14409,monthly,54.94,221324,0.69,7.66,58.12,432135,-0.66,4.06,57.51,271383,-0.62,6.39,53.18,217492,0.49,8.89,55.09,199326,1.34,7.51,2004-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-04,14873,monthly,56.07,225863,2.05,8.61,58.59,435578,0.8,4.73,59.04,278620,2.67,7.96,54.63,223420,2.73,11.09,55.93,202365,1.52,7.44,2004-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-05,13613,monthly,56.43,227330,0.65,7.95,57.86,430197,-1.24,2.68,59.19,279298,0.24,6.78,54.82,224193,0.35,8.97,56.55,204628,1.12,8.06,2004-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-06,16163,monthly,57.13,230156,1.24,10.15,58.95,438283,1.88,4.94,59.72,281838,0.91,8.73,55.25,225947,0.78,11.36,57.45,207895,1.6,10.16,2004-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-07,17612,monthly,58.06,233877,1.62,9.39,60.19,447529,2.11,4.95,61.11,288388,2.32,8.4,56.65,231683,2.54,10.96,57.9,209501,0.77,9.03,2004-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-08,15020,monthly,58.29,234836,0.41,10.41,60.92,452951,1.21,6.89,61.17,288655,0.09,9.15,56.83,232422,0.32,11.66,58.19,210563,0.51,10.29,2004-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-09,13500,monthly,58.12,234134,-0.3,9.97,60.74,451595,-0.3,5.32,61.06,288161,-0.17,8.29,56.71,231902,-0.22,11.2,57.97,209748,-0.39,10.13,2004-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-10,12031,monthly,57.66,232287,-0.79,8.24,60.33,448530,-0.68,4.88,60.71,286511,-0.57,7.15,56.26,230059,-0.79,9.35,57.47,207943,-0.86,8.16,2004-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-11,10790,monthly,58.26,234718,1.05,8.89,60.43,449256,0.16,5.66,61.01,287896,0.48,7.7,56.66,231718,0.72,9.54,58.33,211065,1.5,9.1,2004-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-12,10859,monthly,57.14,230185,-1.93,6.09,59.36,441332,-1.76,4.87,59.85,282435,-1.9,5.43,55.64,227556,-1.8,7.49,57.14,206756,-2.04,5.4,2004-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-01,8020,monthly,57.69,232422,0.97,6.2,60.29,448212,1.56,3.19,60.27,284417,0.7,4.82,56.38,230578,1.33,7.48,57.59,208376,0.78,6.05,2005-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-02,7829,monthly,57.42,231321,-0.47,5.24,59.55,442730,-1.22,1.78,60.08,283523,-0.31,3.82,56.06,229239,-0.58,5.92,57.36,207548,-0.4,5.52,2005-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-03,9361,monthly,57.41,231263,-0.03,4.49,59.2,440100,-0.59,1.84,59.82,282278,-0.44,4.01,56.19,229777,0.23,5.65,57.35,207511,-0.02,4.11,2005-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-04,10290,monthly,58.43,235367,1.77,4.21,59.61,443176,0.7,1.74,60.8,286920,1.64,2.98,57.29,234290,1.96,4.87,58.37,211199,1.78,4.37,2005-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-05,10649,monthly,58.5,235685,0.14,3.68,60.25,447963,1.08,4.13,61.1,288344,0.5,3.24,57.2,233940,-0.15,4.35,58.45,211479,0.13,3.35,2005-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-06,12308,monthly,58.56,235899,0.09,2.5,59.59,443028,-1.1,1.08,60.93,287519,-0.29,2.02,57.69,235917,0.85,4.41,58.34,211100,-0.18,1.54,2005-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-07,13536,monthly,59.05,237872,0.84,1.71,60.42,449202,1.39,0.37,61.65,290947,1.19,0.89,58.02,237279,0.58,2.42,58.84,212892,0.85,1.62,2005-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-08,13208,monthly,59.07,237971,0.04,1.34,60.51,449857,0.15,-0.68,61.16,288600,-0.81,-0.02,58.01,237217,-0.03,2.06,59.04,213620,0.34,1.45,2005-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-09,13541,monthly,58.81,236916,-0.44,1.19,60.75,451638,0.4,0.01,61.52,290297,0.59,0.74,58.04,237361,0.06,2.35,58.36,211176,-1.14,0.68,2005-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-10,12382,monthly,58.16,234298,-1.1,0.87,59.58,442924,-1.93,-1.25,60.64,286183,-1.42,-0.11,57.26,234167,-1.35,1.79,57.9,209507,-0.79,0.75,2005-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-11,12568,monthly,58.72,236561,0.97,0.79,59.91,445427,0.57,-0.85,61.08,288242,0.72,0.12,57.84,236536,1.01,2.08,58.5,211694,1.04,0.3,2005-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-12,13144,monthly,59.17,238377,0.77,3.56,59.04,438936,-1.46,-0.54,60.47,285358,-1.0,1.03,57.98,237127,0.25,4.21,59.58,215567,1.83,4.26,2005-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-01,10862,monthly,59.54,239846,0.62,3.19,61.07,454025,3.44,1.3,61.79,291590,2.18,2.52,58.69,240015,1.22,4.09,59.3,214584,-0.46,2.98,2006-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-02,10885,monthly,59.36,239115,-0.3,3.37,60.34,448642,-1.19,1.34,61.44,289915,-0.57,2.25,58.29,238395,-0.68,3.99,59.36,214773,0.09,3.48,2006-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-03,13982,monthly,59.92,241380,0.95,4.37,61.08,454096,1.22,3.18,61.89,292056,0.74,3.46,59.02,241348,1.24,5.04,59.84,216507,0.81,4.34,2006-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-04,11953,monthly,60.93,245474,1.7,4.29,61.26,455431,0.29,2.77,62.77,296200,1.42,3.23,60.09,245745,1.82,4.89,60.93,220453,1.82,4.38,2006-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-05,13349,monthly,61.46,247591,0.86,5.05,61.92,460366,1.08,2.77,63.11,297797,0.54,3.28,60.4,247011,0.52,5.59,61.63,223018,1.16,5.46,2006-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-06,16075,monthly,62.41,251417,1.55,6.58,62.67,465913,1.2,5.17,63.84,301279,1.17,4.79,61.55,251705,1.9,6.69,62.54,226295,1.47,7.2,2006-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-07,16182,monthly,63.02,253883,0.98,6.73,63.64,473171,1.56,5.34,64.89,306203,1.63,5.24,62.58,255910,1.67,7.85,62.73,226972,0.3,6.61,2006-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-08,16833,monthly,63.72,256704,1.11,7.87,64.37,478540,1.13,6.38,65.46,308896,0.88,7.03,63.07,257927,0.79,8.73,63.6,230115,1.39,7.72,2006-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-09,15674,monthly,63.93,257541,0.33,8.71,64.99,483177,0.97,6.98,65.72,310130,0.4,6.83,63.05,257836,-0.04,8.63,63.9,231214,0.48,9.49,2006-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-10,15193,monthly,64.32,259115,0.61,10.59,64.99,483203,0.01,9.09,65.95,311206,0.35,8.74,63.39,259231,0.54,10.7,64.4,233036,0.79,11.23,2006-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-11,15230,monthly,64.25,258814,-0.12,9.41,65.22,484883,0.35,8.86,66.25,312651,0.46,8.47,63.61,260129,0.35,9.97,64.0,231582,-0.62,9.39,2006-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-12,15232,monthly,65.66,264494,2.19,10.96,66.08,491261,1.32,11.92,67.06,316458,1.22,10.9,64.73,264717,1.76,11.63,65.82,238180,2.85,10.49,2006-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-01,12794,monthly,66.44,267658,1.2,11.6,66.78,496475,1.06,9.35,67.73,319628,1.0,9.62,65.62,268351,1.37,11.81,66.59,240937,1.16,12.28,2007-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-02,12194,monthly,67.22,270780,1.17,13.24,67.48,501729,1.06,11.83,68.38,322708,0.96,11.31,65.81,269149,0.3,12.9,67.74,245120,1.74,14.13,2007-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-03,14546,monthly,67.89,273479,1.0,13.3,68.13,506544,0.96,11.55,68.97,325473,0.86,11.44,67.05,274191,1.87,13.61,68.11,246442,0.54,13.83,2007-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-04,12568,monthly,69.21,278805,1.95,13.58,68.95,512600,1.2,12.55,70.1,330825,1.64,11.69,68.63,280670,2.36,14.21,69.37,251019,1.86,13.86,2007-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-05,14059,monthly,70.18,282726,1.41,14.19,69.31,515304,0.53,11.93,70.8,334101,0.99,12.19,69.07,282458,0.64,14.35,70.79,256149,2.04,14.86,2007-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-06,15799,monthly,70.98,285958,1.14,13.74,70.61,524980,1.88,12.68,71.52,337493,1.02,12.02,69.9,285874,1.21,13.58,71.56,258918,1.08,14.42,2007-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-07,16037,monthly,73.4,295694,3.4,16.47,73.68,547759,4.34,15.76,74.38,350983,4.0,14.62,72.38,296015,3.55,15.67,73.76,266890,3.08,17.59,2007-07-01
